Model,Variant,Year,Odometer_Reading,Fuel_type,Transmission,Price
Maruti Suzuki Swift,VXI,2019,"83,481 kms",Petrol,Manual,₹4.33 Lakh
Honda WR-V,VX,2022,"47,360 kms",Petrol,Manual,₹4.74 Lakh
Tata Nexon,Fearless Plus DT DCA,2024,"13,000 kms",Petrol,Automatic,₹10.25 Lakh
Toyota Innova Crysta,2.4 GX 7 STR AT,2022,"60,000 kms",Diesel,Automatic,₹17.50 Lakh
Hyundai Xcent,1.2 VTVT SX,2017,"73,466 kms",Petrol,Manual,₹3.49 Lakh
Honda City,i VTEC CVT VX,2014,"79,000 kms",Petrol,Automatic,₹4.30 Lakh
Honda Amaze,VX CVT i-VTEC,2016,"82,697 kms",Petrol,Automatic,₹4.32 Lakh
Honda Amaze,V CVT Petrol BSIV,2019,"34,000 kms",Petrol,Automatic,₹4.85 Lakh
Hyundai Creta,SX BSVI,2020,"57,000 kms",Petrol,Manual,₹9.40 Lakh
Hyundai Creta N Line,N10 DCT Titan Grey Matte,2025,"25,000 kms",Petrol,Automatic,₹18 Lakh
Mahindra Thar,LX Hard Top Diesel AT,2024,"17,000 kms",Diesel,Automatic,₹16.25 Lakh
Hyundai Grand i10,1.2 Kappa Magna BSIV,2017,"81,358 kms",Petrol,Manual,₹2.92 Lakh
Honda Amaze,V CVT Petrol BSIV,2019,"34,000 kms",Petrol,Automatic,₹4.85 Lakh
Hyundai Creta,SX BSVI,2020,"57,000 kms",Petrol,Manual,₹9.40 Lakh
Hyundai Creta N Line,N10 DCT Titan Grey Matte,2025,"25,000 kms",Petrol,Automatic,₹18 Lakh
Mahindra Thar,LX Hard Top Diesel AT,2024,"17,000 kms",Diesel,Automatic,₹16.25 Lakh
Hyundai Grand i10,1.2 Kappa Magna BSIV,2017,"81,358 kms",Petrol,Manual,₹2.92 Lakh
Toyota Fortuner,4X4 Diesel AT BSVI,2023,"49,576 kms",Diesel,Automatic,₹36 Lakh
Honda Amaze,SX i VTEC,2016,"62,000 kms",Petrol,Manual,₹3.35 Lakh
Mahindra Thar,LX 4WD Hard Top Diesel AT BSVI,2022,"45,000 kms",Diesel,Automatic,₹12.65 Lakh
Hyundai i20,Sportz 1.2,2020,"60,589 kms",Petrol,Manual,₹4.65 Lakh
Maruti Suzuki Swift,LXI,2019,"78,446 kms",Petrol,Manual,₹3.62 Lakh
Ford Freestyle,Titanium Plus Petrol BSIV,2018,"63,488 kms",Petrol,Manual,₹3.12 Lakh
Hyundai Venue,SX Plus Turbo DCT DT,2020,"40,000 kms",Petrol,Automatic,₹7.50 Lakh
Toyota Innova Crysta,2.8 ZX AT BSIV,2019,"76,000 kms",Diesel,Automatic,₹16.90 Lakh
BMW X1,sDrive18i M Sport,2025,"4,500 kms",Petrol,Automatic,₹48.90 Lakh
Hyundai Aura,S CNG,2021,"78,000 kms",CNG,Manual,₹5.65 Lakh
Honda Jazz,1.2 V i VTEC,2016,"79,338 kms",Petrol,Manual,₹2.68 Lakh
Maruti Suzuki Swift,VXI,2021,"33,090 kms",Petrol,Manual,₹4.95 Lakh
Maruti Suzuki Victoris,LXI CNG,2026,"8,700 kms",CNG,Manual,₹12.25 Lakh
Toyota Fortuner,4X2 Diesel,2025,"9,300 kms",Diesel,Manual,₹38 Lakh
Hyundai Grand i10 Nios,AMT Sportz,2021,"43,784 kms",Petrol,Automatic,₹5.10 Lakh
Honda Jazz,1.2 V i VTEC,2016,"79,338 kms",Petrol,Manual,₹2.68 Lakh
Maruti Suzuki Swift,VXI,2021,"33,090 kms",Petrol,Manual,₹4.95 Lakh
Maruti Suzuki Victoris,LXI CNG,2026,"8,700 kms",CNG,Manual,₹12.25 Lakh
Toyota Fortuner,4X2 Diesel,2025,"9,300 kms",Diesel,Manual,₹38 Lakh
Hyundai Grand i10 Nios,AMT Sportz,2021,"43,784 kms",Petrol,Automatic,₹5.10 Lakh
Hyundai i20,Sportz BSVI,2021,"55,000 kms",Petrol,Manual,₹5.95 Lakh
Mahindra Thar,LX 4WD Hard Top Diesel AT BSVI,2022,"8,100 kms",Diesel,Automatic,₹14.50 Lakh
Toyota Glanza,V AMT,2024,"25,000 kms",Petrol,Automatic,₹8.11 Lakh
Volkswagen Tiguan,2.0 TSI Elegance BSVI,2023,"42,000 kms",Petrol,Automatic,₹25.50 Lakh
Maruti Suzuki Baleno,Alpha Diesel,2021,"60,726 kms",Diesel,Manual,₹5.37 Lakh
Hyundai Xcent,1.2 Kappa AT SX Option,2020,"52,225 kms",Petrol,Automatic,₹3.65 Lakh
Land Rover Discovery Sport,Si4 HSE,2017,"72,000 kms",Petrol,Automatic,₹19.90 Lakh
Toyota Corolla Altis,VL,2011,"58,000 kms",Petrol,Automatic,₹2.75 Lakh
Ford Freestyle,Titanium Petrol BSIV,2018,"53,000 kms",Petrol,Manual,₹3.85 Lakh
Honda Amaze,S Petrol,2020,"62,000 kms",Petrol,Manual,₹4.90 Lakh
Hyundai Grand i10,Sportz,2015,"66,000 kms",Petrol,Manual,₹2.75 Lakh
Maruti Suzuki Grand Vitara,Sigma,2024,"13,000 kms",Petrol,Manual,₹9.75 Lakh
Maruti Suzuki Swift,VXI,2019,"51,959 kms",Petrol,Manual,₹4.48 Lakh
Hyundai Elantra,SX,2012,"82,000 kms",Petrol,Manual,₹2.90 Lakh
Hyundai i20,1.2 Magna Executive,2017,"68,000 kms",Petrol,Manual,₹3.90 Lakh
Hyundai Grand i10,Sportz,2015,"66,000 kms",Petrol,Manual,₹2.75 Lakh
Maruti Suzuki Grand Vitara,Sigma,2024,"13,000 kms",Petrol,Manual,₹9.75 Lakh
Maruti Suzuki Swift,VXI,2019,"51,959 kms",Petrol,Manual,₹4.48 Lakh
Hyundai Elantra,SX,2012,"82,000 kms",Petrol,Manual,₹2.90 Lakh
Hyundai i20,1.2 Magna Executive,2017,"68,000 kms",Petrol,Manual,₹3.90 Lakh
Mercedes-Benz CLA,200 CGI Sport,2016,"69,000 kms",Petrol,Automatic,₹13.50 Lakh
Toyota Fortuner,4X2 Diesel AT,2024,"13,500 kms",Diesel,Automatic,₹41 Lakh
Maruti Suzuki Grand Vitara,Alpha AWD BSVI,2022,"59,757 kms",Petrol,Manual,₹12.34 Lakh
Mahindra Thar,LX 4WD Hard Top AT BSVI,2022,"20,633 kms",Petrol,Automatic,₹10.02 Lakh
Maruti Suzuki Celerio,VXI,2016,"30,902 kms",Petrol,Manual,₹2.35 Lakh
Mahindra Thar,LX Hard Top,2023,"9,000 kms",Petrol,Manual,₹13.25 Lakh
Hyundai Creta,1.6 VTVT SX Plus SE,2016,"65,000 kms",Petrol,Manual,₹5.90 Lakh
Mahindra Alturas G4,4X4 AT BSIV,2019,"70,000 kms",Diesel,Automatic,₹16.75 Lakh
Hyundai Grand i10,Sportz,2015,"47,100 kms",Petrol,Manual,₹2.32 Lakh
Maruti Suzuki Grand Vitara,Delta CNG 2 Airbag,2024,"27,000 kms",CNG,Manual,₹12.45 Lakh
Maruti Suzuki Swift,LXI,2018,"59,836 kms",Petrol,Manual,₹3.83 Lakh
Skoda Slavia,1.5 TSI Style DSG,2023,"45,000 kms",Petrol,Automatic,₹12.25 Lakh
Audi Q7,Technology,2023,"19,000 kms",Petrol,Automatic,₹68 Lakh
Hyundai Grand i10,Sportz,2015,"65,888 kms",Petrol,Manual,₹2.18 Lakh
Hyundai Grand i10 Nios,Magna,2024,"18,000 kms",Petrol,Manual,₹5.70 Lakh
Maruti Suzuki Swift,LXI,2018,"59,836 kms",Petrol,Manual,₹3.83 Lakh
Skoda Slavia,1.5 TSI Style DSG,2023,"45,000 kms",Petrol,Automatic,₹12.25 Lakh
Audi Q7,Technology,2023,"19,000 kms",Petrol,Automatic,₹68 Lakh
Hyundai Grand i10,Sportz,2015,"65,888 kms",Petrol,Manual,₹2.18 Lakh
Hyundai Grand i10 Nios,Magna,2024,"18,000 kms",Petrol,Manual,₹5.70 Lakh
MG Hector,Sharp EX CVT,2022,"25,000 kms",Petrol,Automatic,₹13.25 Lakh
Maruti Suzuki Baleno,Alpha,2023,"6,614 kms",Petrol,Manual,₹7.67 Lakh
Skoda Kushaq,1.0 TSI Ambition BSVI,2021,"44,000 kms",Petrol,Manual,₹7.65 Lakh
Hyundai Creta,EX Diesel BSVI,2022,"64,211 kms",Diesel,Manual,₹9.38 Lakh
Maruti Suzuki Swift,ZXI BSIV,2014,"87,000 kms",Petrol,Manual,₹2.99 Lakh
Skoda Octavia,Style,2022,"29,000 kms",Petrol,Automatic,₹21.25 Lakh
Maruti Suzuki Ciaz,ZXi Plus,2016,"68,000 kms",Petrol,Manual,₹4.40 Lakh
Mahindra Thar,LX 4WD Hard Top BSVI,2022,"41,000 kms",Petrol,Manual,₹10.75 Lakh
Honda Amaze,S AT i-Vtech,2016,"57,000 kms",Petrol,Automatic,₹3.75 Lakh
Audi Q5,Technology,2023,"24,000 kms",Petrol,Automatic,₹45 Lakh
Hyundai Creta,SX Tech iVT,2024,"23,000 kms",Petrol,Automatic,₹16 Lakh
Tata Nexon,1.5 Revotorq XMA,2018,"54,000 kms",Diesel,Automatic,₹4.50 Lakh
Skoda Slavia,1.5 TSI Ambition DSG,2024,"42,492 kms",Petrol,Automatic,₹11.93 Lakh
Skoda Kylaq,Signature AT,2026,"1,100 kms",Petrol,Automatic,₹10.75 Lakh
Maruti Suzuki Alto 800,CNG LXI,2015,"73,000 kms",CNG,Manual,₹2.09 Lakh
Hyundai Creta,SX Tech iVT,2024,"23,000 kms",Petrol,Automatic,₹16 Lakh
Tata Nexon,1.5 Revotorq XMA,2018,"54,000 kms",Diesel,Automatic,₹4.50 Lakh
Skoda Slavia,1.5 TSI Ambition DSG,2024,"42,492 kms",Petrol,Automatic,₹11.93 Lakh
Skoda Kylaq,Signature AT,2026,"1,100 kms",Petrol,Automatic,₹10.75 Lakh
Maruti Suzuki Alto 800,CNG LXI,2015,"73,000 kms",CNG,Manual,₹2.09 Lakh
Tata Harrier,XZ Plus Dark Edition BSVI,2021,"58,135 kms",Diesel,Manual,₹10.63 Lakh
Toyota Fortuner Legender,4x4 AT,2024,"30,000 kms",Diesel,Automatic,₹44.50 Lakh
Maruti Suzuki Baleno,1.2 Delta,2017,"74,045 kms",Petrol,Manual,₹3.33 Lakh
Ford Ecosport,1.5 Diesel Titanium BSIV,2019,"68,000 kms",Diesel,Manual,₹5.70 Lakh
Honda Amaze,VX CVT Petrol,2020,"64,000 kms",Petrol,Automatic,₹5.65 Lakh
Maruti Suzuki Baleno,Alpha AMT BSVI,2022,"30,400 kms",Petrol,Automatic,₹7.25 Lakh
Kia Sonet,HTX Turbo DCT BSVI,2022,"40,900 kms",Petrol,Automatic,₹9.75 Lakh
BMW 5 Series,520d Luxury Line,2018,"99,000 kms",Diesel,Automatic,₹18.49 Lakh
Mahindra Thar,LX Hard Top Diesel,2023,"31,000 kms",Diesel,Manual,₹11.55 Lakh
BMW 6 Series,GT 630i M Sport,2023,"6,000 kms",Petrol,Automatic,₹57 Lakh
Mercedes-Benz AMG GLA 35,4MATIC BSVI,2023,"37,000 kms",Petrol,Automatic,₹37 Lakh
Maruti Suzuki Dzire,ZXI Plus,2018,"62,495 kms",Petrol,Manual,₹4.67 Lakh
Maruti Suzuki Ciaz,1.4 AT Alpha,2018,"1,02,311 kms",Petrol,Automatic,₹5.40 Lakh
Honda Amaze,S CVT Petrol BSIV,2019,"32,313 kms",Petrol,Automatic,₹4.52 Lakh
Kia Carnival,Limousine Plus,2022,"99,000 kms",Diesel,Automatic,₹25.90 Lakh
Mercedes-Benz AMG GLA 35,4MATIC BSVI,2023,"37,000 kms",Petrol,Automatic,₹37 Lakh
Maruti Suzuki Dzire,ZXI Plus,2018,"62,495 kms",Petrol,Manual,₹4.67 Lakh
Maruti Suzuki Ciaz,1.4 AT Alpha,2018,"1,02,311 kms",Petrol,Automatic,₹5.40 Lakh
Honda Amaze,S CVT Petrol BSIV,2019,"32,313 kms",Petrol,Automatic,₹4.52 Lakh
Kia Carnival,Limousine Plus,2022,"99,000 kms",Diesel,Automatic,₹25.90 Lakh
Maruti Suzuki Baleno,1.2 Alpha,2018,"53,000 kms",Petrol,Manual,₹4.45 Lakh
Hyundai Grand i10,1.2 Kappa Asta,2019,"55,000 kms",Petrol,Manual,₹4.15 Lakh
Toyota Glanza,V CVT,2020,"55,000 kms",Petrol,Automatic,₹6.20 Lakh
Maruti Suzuki Vitara Brezza,ZXI,2022,"29,185 kms",Petrol,Manual,₹7.13 Lakh
Skoda Kushaq,1.0 TSI Active,2023,"25,000 kms",Petrol,Manual,₹8.35 Lakh
Honda Amaze,V CVT Petrol BSIV,2019,"32,722 kms",Petrol,Automatic,₹5.16 Lakh
Toyota Glanza,V CVT,2020,"55,000 kms",Petrol,Automatic,₹6.25 Lakh
Audi Q3,35 TDI Quattro Premium Plus,2018,"55,000 kms",Diesel,Automatic,₹15 Lakh
Toyota Corolla Altis,1.8 VL CVT,2018,"97,142 kms",Petrol,Automatic,₹7.77 Lakh
Audi A6,35 TDI,2017,"66,000 kms",Diesel,Automatic,₹12.25 Lakh
Honda Amaze,S Option i-VTEC,2017,"39,000 kms",Petrol,Manual,₹3.75 Lakh
MG Hector,Sharp DCT,2020,"72,000 kms",Petrol,Automatic,₹8 Lakh
Hyundai Venue,S Turbo DCT,2022,"62,211 kms",Petrol,Automatic,₹9.25 Lakh
Maruti Suzuki Grand Vitara,Delta AT,2024,"34,226 kms",Petrol,Automatic,₹10.29 Lakh
Maruti Suzuki XL6,Zeta,2021,"62,000 kms",Petrol,Manual,₹8.25 Lakh
Honda Amaze,S Option i-VTEC,2017,"39,000 kms",Petrol,Manual,₹3.75 Lakh
MG Hector,Sharp DCT,2020,"72,000 kms",Petrol,Automatic,₹8 Lakh
Hyundai Venue,S Turbo DCT,2022,"62,211 kms",Petrol,Automatic,₹9.25 Lakh
Maruti Suzuki Grand Vitara,Delta AT,2024,"34,226 kms",Petrol,Automatic,₹10.29 Lakh
Maruti Suzuki XL6,Zeta,2021,"62,000 kms",Petrol,Manual,₹8.25 Lakh
Tata Tiago,1.2 Revotron XT,2017,"72,000 kms",Petrol,Manual,₹3.10 Lakh
Maruti Suzuki Baleno,Zeta Diesel,2016,"93,146 kms",Diesel,Manual,₹3.84 Lakh
Tata Tigor,1.2 Revotron XT,2018,"88,280 kms",Petrol,Manual,₹2.75 Lakh
Maruti Suzuki Grand Vitara,Sigma,2023,"48,000 kms",Petrol,Manual,₹9.25 Lakh
Maruti Suzuki Baleno,Zeta Diesel,2016,"1,10,204 kms",Diesel,Manual,₹3.47 Lakh
MG Hector Plus,Super Diesel MT 7 STR,2021,"36,000 kms",Diesel,Manual,₹11.55 Lakh
Hyundai Creta,EX(O) iVT,2025,"10,000 kms",Petrol,Automatic,₹14.45 Lakh
Kia Seltos,HTX IVT,2024,"15,856 kms",Petrol,Automatic,₹15.50 Lakh
Tata Nexon,XZ Plus S BSVI,2017,"1,06,841 kms",Petrol,Manual,₹3.84 Lakh
Mahindra Thar,LX Hard Top Diesel,2026,"38,000 kms",Diesel,Manual,₹12.25 Lakh
Mercedes-Benz E-Class,E 350 d BSIV,2019,"15,200 kms",Diesel,Automatic,₹32.95 Lakh
Mercedes-Benz GLC,300,2024,"16,000 kms",Petrol,Automatic,₹63 Lakh
Mahindra Thar,LX Hard Top Diesel RWD,2024,"5,500 kms",Diesel,Manual,₹13 Lakh
Honda Amaze,SX i-VTEC,2014,"88,651 kms",Petrol,Manual,₹2.15 Lakh
Maruti Suzuki Swift,ZXI,2014,"51,965 kms",Petrol,Manual,₹2.31 Lakh
Mercedes-Benz E-Class,E 350 d BSIV,2019,"15,200 kms",Diesel,Automatic,₹32.95 Lakh
Mercedes-Benz GLC,300,2024,"16,000 kms",Petrol,Automatic,₹63 Lakh
Mahindra Thar,LX Hard Top Diesel RWD,2024,"5,500 kms",Diesel,Manual,₹13 Lakh
Honda Amaze,SX i-VTEC,2014,"88,651 kms",Petrol,Manual,₹2.15 Lakh
Maruti Suzuki Swift,ZXI,2014,"51,965 kms",Petrol,Manual,₹2.31 Lakh
Maruti Suzuki Grand Vitara,Zeta,2023,"11,201 kms",Petrol,Manual,₹11.85 Lakh
Mahindra Thar,LX 4WD Hard Top AT BSVI,2021,"31,000 kms",Petrol,Automatic,₹13.75 Lakh
Toyota Etios Liva,G,2016,"61,500 kms",Petrol,Manual,₹2.25 Lakh
Maruti Suzuki Invicto,Zeta Plus 7Str,2024,"8,500 kms",Petrol,Automatic,₹24.50 Lakh
Hyundai i20,1.2 Asta,2018,"84,249 kms",Petrol,Manual,₹4.01 Lakh
Nissan Magnite,XV Premium,2023,"18,478 kms",Petrol,Manual,₹6.34 Lakh
Maruti Suzuki Wagon R,VXI 1.2,2019,"46,641 kms",Petrol,Manual,₹3.33 Lakh
Honda Amaze,S i-VTEC,2015,"40,180 kms",Petrol,Manual,₹3.18 Lakh
Kia Seltos,Gravity Diesel,2025,"18,000 kms",Diesel,Manual,₹18.95 Lakh
Maruti Suzuki Swift,VXI,2013,"71,414 kms",Petrol,Manual,₹2.64 Lakh
Hyundai i20,Sportz 1.2,2020,"61,538 kms",Petrol,Manual,₹4.74 Lakh
Maruti Suzuki Swift,ZXI,2015,"88,959 kms",Petrol,Manual,₹2.87 Lakh
Honda Amaze,S i-VTEC,2017,"70,000 kms",Petrol,Manual,₹3.45 Lakh
Jeep Compass,1.4 Limited,2019,"56,000 kms",Petrol,Automatic,₹11.50 Lakh
Hyundai Creta,1.6 VTVT AT SX Plus,2017,"57,000 kms",Petrol,Automatic,₹5.95 Lakh
Hyundai i20,Sportz 1.2,2020,"61,538 kms",Petrol,Manual,₹4.74 Lakh
Maruti Suzuki Swift,ZXI,2015,"88,959 kms",Petrol,Manual,₹2.87 Lakh
Honda Amaze,S i-VTEC,2017,"70,000 kms",Petrol,Manual,₹3.45 Lakh
Jeep Compass,1.4 Limited,2019,"56,000 kms",Petrol,Automatic,₹11.50 Lakh
Hyundai Creta,1.6 VTVT AT SX Plus,2017,"57,000 kms",Petrol,Automatic,₹5.95 Lakh
Honda City,i VTEC CVT VX,2017,"73,312 kms",Petrol,Automatic,₹4.20 Lakh
Hyundai Creta,1.6 VTVT AT SX Plus,2018,"40,000 kms",Petrol,Automatic,₹7.25 Lakh
Honda Brio,VX,2017,"73,380 kms",Petrol,Manual,₹3.14 Lakh
Maruti Suzuki Celerio,VXI,2015,"73,944 kms",Petrol,Manual,₹2.21 Lakh
Tata Nexon,1.2 Revotron XZ,2018,"54,000 kms",Petrol,Manual,₹4.49 Lakh
Hyundai i10,Magna 1.2 iTech SE,2015,"48,867 kms",Petrol,Manual,₹2.37 Lakh
Maruti Suzuki Swift,LXI Optional-O,2017,"54,030 kms",Petrol,Manual,₹3.16 Lakh
Maruti Suzuki Ciaz,Alpha BSIV,2019,"71,000 kms",Petrol,Manual,₹5.90 Lakh
Honda City,i VTEC CVT VX,2016,"65,247 kms",Petrol,Automatic,₹4.54 Lakh
Hyundai Aura,SX,2023,"7,596 kms",Petrol,Manual,₹5.62 Lakh
Land Rover Discovery Sport,Dynamic SE Diesel,2021,"40,000 kms",Diesel,Automatic,₹37.75 Lakh
Tata Zest,Revotron 1.2T XMS,2015,"46,000 kms",Petrol,Manual,₹2.30 Lakh
Maruti Suzuki Celerio X,VXI,2018,"41,698 kms",Petrol,Manual,₹2.86 Lakh
Kia Seltos,HTK,2024,"31,000 kms",Petrol,Manual,₹10.10 Lakh
Honda Amaze,S i-VTEC,2015,"71,528 kms",Petrol,Manual,₹2.77 Lakh
Land Rover Discovery Sport,Dynamic SE Diesel,2021,"40,000 kms",Diesel,Automatic,₹37.75 Lakh
Tata Zest,Revotron 1.2T XMS,2015,"46,000 kms",Petrol,Manual,₹2.30 Lakh
Maruti Suzuki Celerio X,VXI,2018,"41,698 kms",Petrol,Manual,₹2.86 Lakh
Kia Seltos,HTK,2024,"31,000 kms",Petrol,Manual,₹10.10 Lakh
Honda Amaze,S i-VTEC,2015,"71,528 kms",Petrol,Manual,₹2.77 Lakh
Maruti Suzuki Swift Dzire,AMT VXI,2019,"65,000 kms",Petrol,Automatic,₹4.35 Lakh
Tata Nexon,1.5 Revotorq XZ Plus,2018,"85,000 kms",Diesel,Manual,₹4 Lakh
Tata Tigor,XZA Plus AMT,2024,"51,973 kms",Petrol,Automatic,₹5.89 Lakh
Maruti Suzuki Swift,LXI Optional-O,2015,"52,862 kms",Petrol,Manual,₹2.14 Lakh
Tata Harrier,XTA Plus AT BSVI,2021,"43,254 kms",Diesel,Automatic,₹10.22 Lakh
Honda City,ZX MT,2022,"47,531 kms",Petrol,Manual,₹9.75 Lakh
Tata Tigor,XZA,2019,"75,000 kms",Petrol,Automatic,₹4.50 Lakh
Toyota Yaris,V CVT,2020,"53,000 kms",Petrol,Automatic,₹6.75 Lakh
Mercedes-Benz S-Class,S400,2016,"90,000 kms",Petrol,Automatic,₹35 Lakh
Maruti Suzuki Celerio,VXI Optional MT BSIV,2018,"40,000 kms",Petrol,Manual,₹3.25 Lakh
Honda City,V MT,2020,"65,000 kms",Petrol,Manual,₹7.35 Lakh
Honda WR-V,i-VTEC S,2018,"40,000 kms",Petrol,Manual,₹4.75 Lakh
Mahindra Thar,LX 4WD Hard Top Diesel AT BSVI,2022,"25,000 kms",Diesel,Automatic,₹13.50 Lakh
Mercedes-Benz GLA,200,2024,"14,000 kms",Petrol,Automatic,₹41 Lakh
Honda Amaze,SX i-VTEC,2015,"67,710 kms",Petrol,Manual,₹2.45 Lakh
Tata Tigor,XZA Plus AMT BSVI,2022,"16,000 kms",Petrol,Automatic,₹5.55 Lakh
Mahindra Thar,LX Hard Top,2023,"48,000 kms",Petrol,Manual,₹11.60 Lakh
Mercedes-Benz E-Class,E200 Edition E,2016,"29,000 kms",Petrol,Automatic,₹14.75 Lakh
Toyota Innova Crysta,2.7 GX AT 8S BSIV,2017,"78,000 kms",Petrol,Automatic,₹8.95 Lakh
Hyundai Grand i10,Sportz,2015,"65,888 kms",Petrol,Manual,₹2.18 Lakh
Tata Tiago,1.2 Revotron XZ,2017,"60,744 kms",Petrol,Manual,₹2.79 Lakh
BMW X5,xDrive 40i SportX Plus,2022,"55,00,000 kms",Petrol,Automatic,₹54 Lakh
Maruti Suzuki Swift Dzire,AMT ZXI,2020,"53,370 kms",Petrol,Automatic,₹4.35 Lakh
Tata Curvv,Pure Plus,2024,"14,000 kms",Petrol,Manual,₹8.99 Lakh
Tata Tiago,1.2 Revotron XZ,2016,"61,000 kms",Petrol,Manual,₹2.99 Lakh
Hyundai Venue,S Opt Turbo DCT,2025,"15,685 kms",Petrol,Automatic,₹11.25 Lakh
Hyundai i10,Magna,2014,"55,000 kms",Petrol,Manual,₹2.15 Lakh
Maruti Suzuki Swift Dzire,LXI BSVI,2022,"26,000 kms",Petrol,Manual,₹5.50 Lakh
Mahindra Thar,LX 4WD Hard Top AT BSVI,2022,"20,633 kms",Petrol,Automatic,₹10.02 Lakh
Volkswagen Tiguan R Line,2.0L TSI,2026,500 kms,Petrol,Automatic,₹41 Lakh
Tata Tiago,1.2 Revotron XT,2021,"34,924 kms",Petrol,Manual,₹4.45 Lakh
Maruti Suzuki Swift,LXI,2017,"1,33,651 kms",Petrol,Manual,₹2.56 Lakh
Hyundai Aura,S CNG,2021,"73,000 kms",CNG,Manual,₹5.70 Lakh
Toyota Yaris,J CVT BSIV,2019,"65,000 kms",Petrol,Automatic,₹5.75 Lakh
Maruti Suzuki Grand Vitara,Delta AT,2024,"34,226 kms",Petrol,Automatic,₹10.29 Lakh
Maruti Suzuki Wagon R,LXI BS IV,2015,"45,000 kms",Petrol,Manual,₹2.35 Lakh
Ford Ecosport,1.5 Ti VCT MT Ambiente BSIV,2016,"55,360 kms",Petrol,Manual,₹2.98 Lakh
Maruti Suzuki Swift,LXI Optional-O,2015,"52,862 kms",Petrol,Manual,₹2.14 Lakh
Tata Tiago,XT BSVI,2021,"22,544 kms",Petrol,Manual,₹4.12 Lakh
Maruti Suzuki Ciaz,1.4 AT Zeta,2017,"48,006 kms",Petrol,Automatic,₹4.85 Lakh
Skoda Octavia,Style,2021,"45,000 kms",Petrol,Automatic,₹19.99 Lakh
Ford Ecosport,1.5 Diesel Titanium BSIV,2019,"68,000 kms",Diesel,Manual,₹5.70 Lakh
BMW X5,xDrive40i M Sport,2024,"39,000 kms",Petrol,Automatic,₹84 Lakh
Hyundai Grand i10,1.2 Kappa Asta,2019,"55,000 kms",Petrol,Manual,₹4.15 Lakh
Hyundai i20,Sportz Petrol,2013,"86,237 kms",Petrol,Manual,₹2.41 Lakh
Tata Nexon,1.2 Revotron XZ Plus,2020,"26,718 kms",Petrol,Manual,₹5.62 Lakh
Maruti Suzuki Baleno,Zeta Diesel,2019,"45,171 kms",Diesel,Manual,₹5.01 Lakh
Toyota Fortuner,4X2 AT,2024,"13,500 kms",Petrol,Automatic,₹35.90 Lakh
Tata Nexon,XZ Plus S BSVI,2017,"1,06,841 kms",Petrol,Manual,₹3.84 Lakh
Hyundai Grand i10,Sportz,2015,"66,000 kms",Petrol,Manual,₹2.75 Lakh
Honda Mobilio,S i-VTEC,2015,"68,000 kms",Petrol,Manual,₹3.59 Lakh
Mahindra Thar,LX 4WD Hard Top BSVI,2021,"72,000 kms",Petrol,Manual,₹10.15 Lakh
Honda Amaze,SX i-VTEC,2015,"67,710 kms",Petrol,Manual,₹2.45 Lakh
Maruti Suzuki Grand Vitara,Zeta,2023,"25,530 kms",Petrol,Manual,₹11.48 Lakh
Mahindra Thar,LX Hard Top AT RWD,2024,"22,000 kms",Petrol,Automatic,₹12.50 Lakh
Honda Mobilio,S i-VTEC,2015,"68,000 kms",Petrol,Manual,₹3.59 Lakh
Mahindra Thar,LX 4WD Hard Top BSVI,2021,"72,000 kms",Petrol,Manual,₹10.15 Lakh
Honda Amaze,SX i-VTEC,2015,"67,710 kms",Petrol,Manual,₹2.45 Lakh
Maruti Suzuki Grand Vitara,Zeta,2023,"25,530 kms",Petrol,Manual,₹11.48 Lakh
Mahindra Thar,LX Hard Top AT RWD,2024,"22,000 kms",Petrol,Automatic,₹12.50 Lakh
Land Rover Range Rover Velar,R-Dynamic S Petrol MY21,2020,"29,500 kms",Petrol,Automatic,₹49.75 Lakh
Mahindra Thar,LX 4WD Hard Top Diesel AT BSVI,2022,"25,000 kms",Diesel,Automatic,₹13.50 Lakh
Toyota Innova Crysta,2.4 ZX 7 STR AT,2020,"76,000 kms",Diesel,Automatic,₹18.49 Lakh
Maruti Suzuki Swift Dzire,VXI BSVI,2021,"17,000 kms",Petrol,Manual,₹6.25 Lakh
Land Rover Discovery,HSE 2.0 SD4,2017,"72,000 kms",Petrol,Automatic,₹25.90 Lakh
Hyundai Aura,SX,2023,"7,596 kms",Petrol,Manual,₹5.62 Lakh
Tata Nexon,XM BSVI,2021,"40,000 kms",Petrol,Manual,₹5.90 Lakh
Mercedes-Benz GLA,200,2024,"5,500 kms",Petrol,Automatic,₹42.50 Lakh
Toyota Glanza,G CNG BSVI,2023,"85,000 kms",CNG,Manual,₹7.40 Lakh
Hyundai i10,Magna,2014,"55,000 kms",Petrol,Manual,₹2.15 Lakh
Tata Nexon,1.5 Revotorq XMA,2019,"92,000 kms",Diesel,Automatic,₹5.45 Lakh
Maruti Suzuki Swift,LXI,2019,"60,000 kms",Petrol,Manual,₹4.50 Lakh
Maruti Suzuki Wagon R,CNG LXI Opt,2021,"54,000 kms",CNG,Manual,₹4.56 Lakh
Mahindra Scorpio,S9,2021,"73,000 kms",Diesel,Manual,₹12.40 Lakh
Honda Brio,VX AT,2014,"21,005 kms",Petrol,Automatic,₹2.45 Lakh
Tata Nexon,1.5 Revotorq XMA,2019,"92,000 kms",Diesel,Automatic,₹5.45 Lakh
